Date,ShortVolume,ShortExemptVolume,TotalVolume
2017-11-16,90371.0,2969.0,242211.0
2017-11-15,74772.0,3273.0,221185.0
2017-11-14,80142.0,3177.0,264341.0
2017-11-13,72035.0,984.0,297168.0
2017-11-10,118928.0,483.0,261837.0
2017-11-09,215964.0,1867.0,513083.0
2017-11-08,166416.0,3040.0,333660.0
2017-11-07,198656.0,3151.0,351139.0
2017-11-06,128684.0,2850.0,243882.0
2017-11-03,159549.0,2612.0,319543.0
2017-11-02,179455.0,1687.0,363956.0
2017-11-01,245243.0,2260.0,481780.0
2017-10-31,187870.0,1207.0,381262.0
2017-10-30,288162.0,2027.0,695505.0
2017-10-27,393841.0,3531.0,1583233.0
2017-10-26,195585.0,3065.0,526206.0
2017-10-25,142279.0,3428.0,377879.0
2017-10-24,107468.0,557.0,363436.0
2017-10-23,133576.0,1736.0,517032.0
2017-10-20,184450.0,976.0,392884.0
2017-10-19,140264.0,2494.0,583940.0
2017-10-18,116161.0,1815.0,355050.0
2017-10-17,117937.0,638.0,259944.0
2017-10-16,105483.0,627.0,321566.0
2017-10-13,207605.0,822.0,370256.0
2017-10-12,274980.0,2479.0,521890.0
2017-10-11,281094.0,3173.0,526915.0
2017-10-10,137739.0,710.0,293530.0
2017-10-09,154164.0,1513.0,303984.0
2017-10-06,255474.0,2116.0,448679.0
2017-10-05,204238.0,9106.0,427363.0
2017-10-04,100065.0,2814.0,202925.0
2017-10-03,152472.0,1418.0,308324.0
2017-10-02,182271.0,778.0,423178.0
2017-09-29,278075.0,2087.0,546905.0
2017-09-28,190474.0,1114.0,390160.0
2017-09-27,284765.0,3206.0,699911.0
